candidate,model_sha256,session,phase,snapshot,total_pss_kb
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,1,active,5,90300
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,1,active,6,90299
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,1,active,7,90298
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,1,active,8,90298
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,1,active,9,90290
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,1,active,10,90234
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,1,active,11,89131
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,1,active,12,89127
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,1,active,13,89128
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,1,active,14,89128
dynamic_range,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,1,active,15,89127
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,1,baseline,1,53837
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,1,baseline,2,45703
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,1,baseline,3,45704
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,1,baseline,4,45707
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,1,baseline,5,45817
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,1,active,1,53242
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,1,active,2,53053
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,1,active,3,53059
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,1,active,4,53042
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,1,active,5,53041
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,1,active,6,53041
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,1,active,7,53043
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,1,active,8,53041
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,1,active,9,53041
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,1,active,10,53042
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,1,active,11,53013
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,1,active,12,51814
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,1,active,13,51809
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,1,active,14,51809
full_int8,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,1,active,15,51810
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,2,baseline,1,217693
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,2,baseline,2,81409
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,2,baseline,3,81439
fp32,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,2,baseline,4,81420
