trial,seed,batch_size,learning_rate,fraction,epochs,top_layers,backbone_layers,trainable_backbone_layers,trainable_parameters,epoch,val_loss,val_macro_f1,val_accuracy,weights_path,model_path,model_sha256,head_model_sha256,fine_tuning_accepted,search_signature
finetune_seed42,42,32,5.999999757477781e-06,0.35,20,55,157,18,746432,20,0.23481447994709015,0.9360119841154804,0.9387848377227783,/home/aracel/Downloads/Skripsi/pengembangan_model/05_repeat/seed_42/finetune/epoch_20.weights.h5,/home/aracel/Downloads/Skripsi/pengembangan_model/05_repeat/seed_42/finetune/best.keras,255cf905675df6dcd4471e3381a535e9bc2b50b15c711a33fe3aa891eee39900,48b9695b5a27093593bf5cf523cb1a0a3ee77ff7ba97fa570e103fb5d65f5e03,True,fcb110de870e741ef46f2cc8cdbe396eec95155c1741a9e919ac1bac616b68ad
finetune_seed123,123,32,1.1999999287581886e-06,0.35,20,55,157,18,746432,16,0.27915072441101074,0.9147442617415672,0.9191411733627319,/home/aracel/Downloads/Skripsi/pengembangan_model/05_repeat/seed_123/finetune/epoch_16.weights.h5,/home/aracel/Downloads/Skripsi/pengembangan_model/05_repeat/seed_123/finetune/best.keras,860d3dc55d93b00f5a314691ef293045c6635504367cad0a31da3891cfc23050,70a0f100612308e030f1bc696dd39fc60025209ba84f90c4f5cbcd2b6aab1d67,True,fcb110de870e741ef46f2cc8cdbe396eec95155c1741a9e919ac1bac616b68ad
finetune_seed2026,2026,32,1.1999999287581886e-06,0.35,20,55,157,18,746432,13,0.27603188157081604,0.9169822952635192,0.9214252829551697,/home/aracel/Downloads/Skripsi/pengembangan_model/05_repeat/seed_2026/finetune/epoch_13.weights.h5,/home/aracel/Downloads/Skripsi/pengembangan_model/05_repeat/seed_2026/finetune/best.keras,63dce07117df8073c1e559941153b085515e8855e40de6e34dc032b18b1ae3b5,d4817d57809f489e2446c10c5843fba51c424c0ba434799a0f541ff1d9604980,True,fcb110de870e741ef46f2cc8cdbe396eec95155c1741a9e919ac1bac616b68ad
