candidate,file_name,model_path,sha256,size_bytes,size_mib,input_dtype,output_dtype,input_scale,input_zero_point,output_scale,output_zero_point,smoke_mae_vs_keras,smoke_max_abs_diff,smoke_class_agreement,valid
fp32,mobilenetv3small_fp32.tflite,/home/aracel/Downloads/Skripsi/pengembangan_model/06_tflite/run_20260913_191918_012413/mobilenetv3small_fp32.tflite,bbcdee096fe23d19026b530643c17e512ff9eacbb75404ec82683315768795bd,3744112,3.5706634521484375,float32,float32,0.0,0,0.0,0,9.071830220364063e-08,7.510185241699219e-06,1.0,True
fp16,mobilenetv3small_fp16.tflite,/home/aracel/Downloads/Skripsi/pengembangan_model/06_tflite/run_20260913_191918_012413/mobilenetv3small_fp16.tflite,b3e37e8d3278cbcc60537a6ad1fec3a00d4b2de3506a379d8264febdd927e790,1905492,1.8172187805175781,float32,float32,0.0,0,0.0,0,0.0003580242919269949,0.03331831097602844,1.0,True
dynamic_range,mobilenetv3small_dynamic_range.tflite,/home/aracel/Downloads/Skripsi/pengembangan_model/06_tflite/run_20260913_191918_012413/mobilenetv3small_dynamic_range.tflite,fa373b8832a860302ce2b58bd712fc85ad4bf252bdfa9edf2fc1a276934a8676,1107648,1.05633544921875,float32,float32,0.0,0,0.0,0,0.010383978486061096,0.5008285641670227,0.95,True
full_int8,mobilenetv3small_full_int8.tflite,/home/aracel/Downloads/Skripsi/pengembangan_model/06_tflite/run_20260913_191918_012413/mobilenetv3small_full_int8.tflite,fe8db97ca3a464f35deeba83f5f77d92dcae55c78c71cccfc1a847716e6e37e7,1215496,1.1591873168945312,int8,int8,1.0,-128,0.00390625,-128,0.11213026195764542,1.0,0.5875,True
