candidate,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,min_recall,bootstrap_mean,se,ci95_low,ci95_high,one_se_threshold,quality_eligible
fp32,0.9387848332571951,0.9383773823407475,0.9361701536011722,0.9360119841154804,0.9394077147172701,0.8468085106382979,0.9359425000027275,0.0036459517660841234,0.9287413274198179,0.9431956293645508,0.9450820210208178,False
fp16,0.9376427592507994,0.9372690218362729,0.9349684389686064,0.9348077274918035,0.9383013952973609,0.8446808510638298,0.9347367215001102,0.003676533025712414,0.9274335390950776,0.9418371875483523,0.9450820210208178,False
dynamic_range,0.9506624029237094,0.9500202502936388,0.9492133357063216,0.9485829026252932,0.9510378768032949,0.8765957446808511,0.9485609901593879,0.0035008816044753656,0.9416096404391194,0.9553771287932923,0.9450820210208178,True
full_int8,0.4828688899040658,0.6871664347397224,0.4980987875166412,0.4777338116888781,0.4798741060958701,0.09444444444444444,0.47761019544023864,0.007193109067215375,0.46394305522840074,0.4917257930642641,0.9450820210208178,False
