trial,batch_size,learning_rate,fraction,epochs,top_layers,backbone_layers,trainable_backbone_layers,trainable_parameters,source_sha256,seed,epoch,val_loss,val_macro_f1,val_accuracy,weights_path
b16_lr3e-04,16,0.0003,0.0,30,0,157,0,4616,93fd28e138d969425ff324afeb17105592946ecd011c15e821bf3f9b886dc923,42,8,0.5603945851325989,0.8017330923610956,0.8133851289749146,/home/aracel/Downloads/Skripsi/pengembangan_model/03_head/run_20260910_030615_654450/b16_lr3e-04/epoch_08.weights.h5
b16_lr1e-03,16,0.001,0.0,30,0,157,0,4616,93fd28e138d969425ff324afeb17105592946ecd011c15e821bf3f9b886dc923,42,6,0.547744631767273,0.8093447512180174,0.8216080665588379,/home/aracel/Downloads/Skripsi/pengembangan_model/03_head/run_20260910_030615_654450/b16_lr1e-03/epoch_06.weights.h5
b32_lr3e-04,32,0.0003,0.0,30,0,157,0,4616,93fd28e138d969425ff324afeb17105592946ecd011c15e821bf3f9b886dc923,42,7,0.5773826837539673,0.7985415678435355,0.8095020651817322,/home/aracel/Downloads/Skripsi/pengembangan_model/03_head/run_20260910_030615_654450/b32_lr3e-04/epoch_07.weights.h5
b32_lr1e-03,32,0.001,0.0,30,0,157,0,4616,93fd28e138d969425ff324afeb17105592946ecd011c15e821bf3f9b886dc923,42,7,0.5234485864639282,0.8152033191630178,0.8259479403495789,/home/aracel/Downloads/Skripsi/pengembangan_model/03_head/run_20260910_030615_654450/b32_lr1e-03/epoch_07.weights.h5
